Lexicon
broooolarab (/bⱱ̟ɯː.ʎ̯ɑ.ⱱ̟ä̆b/)
broooolelgoob (/b̪ⱱ̟ɯː.ʎ̯ø̞̆ʎ̯.ɢɪ̈̆b̪/)
	 n. skirt
blulbaaballa (/b̪ɺɘɺ.bɜː.b̪ʌ̞̆.ɺɺä/)
	 n. produce
bleerodoolaa (/b̪ɺ̢øː.ⱱ̟ɤ̞.ɖɤ̞ː.ɺɜː/)
	 n. rate
blooli (/b̪ɺ̢ʌː.ʟ̠̆y/)
	 n. wash
blolbigoo (/b̪ʎ̯ɯ̞ɺ̢.b̪ʏ̟̆.ɟɨ̆/)
	 n. example
blealiil (/b̪ʎ̯ø̞.ʌ̞̆.ʎ̯yːɺ̢/)
	 n. wax
bloo (/b̪ʎ̯ʌː/)
	 n. nose
blal (/b̪ʎ̯ʌ̞̆ʎ̯/)
	 n. loss
booaalool (/b̪ɯ̆.ʌ̞ː.ʎ̯ʌːɺ̢/)
	 n. seat
boooolaldiidloor (/b̪ɯː.ʟ̠̆ɜʎ̯.ɖyːʏ̟ː̯.ɖʟ̠̆ɯ̆ⱱ̟/)
	 n. coat
bilaagle (/b̪y̆.ʎ̯ʌ̞ː.ɟɺø̞/)
	 n. cup
biiag (/b̪yː.œ̞̆ɢ/)
	 n. side
boal (/b̪ɯ̞̆.ɐ̆ɺ/)
	 n. force
bologod (/b̪ɯ̞.ʎ̯ʌ.ɟɤ̆ɖ/)
	 n. door
boo (/b̪ɯ̞ː/)
	 n. tree
boorleebuldol (/b̪ɪ̈̆.ⱱ̟ʎ̯œː.bəɺ̢.ɖɤ̞ɺ/)
	 n. protest
boloo (/b̪ɤ̆.ʎ̯ʌː/)
	 n. day
bullab (/b̪ɘ̆.ɺɺ̢ɐb̪/)
	 n. existence
buladloo (/b̪ɘ̆.ɺ̢œ̞̆.dʟ̠̆ɨ̆/)
	 n. turn
bolbol (/b̪ɤ̞̆ʟ̠̆.b̪ɯ̞ɺ̢/)
	 n. record
boroooolaa (/b̪ʌ.ⱱ̟ɯː.ʎ̯ɶː/)
	 n. use
booloo (/b̪ʌː.ʟ̠̆ɪ̈/)
	 n. connection
bellelool (/b̪œ̆.ʟ̠̆ɺœ̆.ʎ̯ɨɺ/)
	 n. back
baregooa (/b̪ʌ̞.ⱱ̟ø̆.ɢɯ̞ː.ä/)
	 n. hammer
balbuu (/b̪ʌ̞ʟ̠̆.b̪ɘː/)
	 n. middle
balbleed (/b̪ɐ̆ʎ̯.bʟ̠̆ø̞ːd/)
	 n. space
baallileg (/b̪ɐː.ʎ̯ʟ̠̆ʏ̟.ʎ̯øɟ/)
	 n. opinion
baaliillaardlor (/b̪ɶː.ɺyː.ʟ̠̆ʟ̠̆ɶːⱱ̟.ɖɺɤ̞ⱱ̟/)
	 n. driving
boalaree (/b̪ɯ̞œ̞̯.ʎ̯ʌ̞.ⱱ̟øː/)
	 n. motion
baegeeliildroo (/b̪œ̞̆ø̞̯̆.ɟœː.ʟ̠̆ʏ̟ːʟ̠̆.dⱱ̟ɨ/)
	 n. muscle
drolo (/dⱱ̟ɯ̞̆.ʎ̯ɤ̞̆/)
	 n. floor
drii (/dⱱ̟yʏ̟̯/)
	 n. cover
dlaaldood (/dɺ̢ʌ̞ːɺ̢.ɖɯ̆d/)
	 n. butter
dla (/dɺ̢œ̞/)
	 n. selection
dlo (/dʎ̯ɤ̆/)
	 n. measure
dlaloolbaered (/dʎ̯ɶ.ʎ̯ɨ̆ɺ.bœ̞̆ø̞̯̆.ⱱ̟œɖ/)
	 n. boy
dooludalee (/dɯ̆.ʎ̯ə̆.ɖɑ.ɺœː/)
	 n. field
dooooaagloae (/dɯː.äː.ɟɺ̢ɯ̞̆.œ̞̆ø̞̯̆/)
	 n. fall
doordloooo (/dɨⱱ̟.ɖʎ̯ɯː/)
	 n. spring
doole (/dɨ.ʟ̠̆ø̞̆/)
	 n. leaf
dii (/dyː/)
	 n. country
doolo (/dɤː.ʟ̠̆ɤ̆/)
	 n. observation
duullee (/dɘː.ɺɺø̞ː/)
	 n. island
deloo (/dø̞.ʟ̠̆ɪ̈/)
	 n. talk
deeredaad (/dø̞ː.ⱱ̟œ.dʌ̞ːd/)
	 n. crime
doruuba (/dʌ̆.ⱱ̟əː.b̪ɑ̆/)
	 n. house
doodooguloooob (/dʌː.dɯ.ɟɘ̆.ʎ̯ɪ̈ːb̪/)
	 n. roof
daadaedilaa (/dɜː.ɖœ̞̆ø̞̯̆.dʏ̟̆.ɺ̢ɐː/)
	 n. needle
daalago (/dɜː.ʟ̠̆ɐ̆.ɟɯ̞/)
	 n. metal
debooro (/dœ.bɯ.ⱱ̟ɤ̞/)
	 n. animal
deela (/dœː.ʟ̠̆ʌ̞/)
	 n. sun
dalii (/dʌ̞.ʟ̠̆yːʏ̟ː̯/)
	 n. top
daabaalio (/dʌ̞ː.b̪ɜː.ɺʏ̟̆.ʌ̆/)
	 n. competition
dal (/dɐɺ/)
	 n. sister
daella (/dœ̞̆.œ.ɺʟ̠̆ä/)
	 n. amount
dadre (/dä̆.dⱱ̟ø/)
	 n. stretch
doad (/dɯ̞œ̞̯ɖ/)
	 n. pain
lildi (/ɺyʎ̯.ɖy̆/)
	 n. match
liiriireelulg (/ɺyː.ⱱ̟yːʏ̟ː̯.ⱱ̟œː.ɺɘ̆ʎ̯ɟ/)
	 n. list
lolaaiillool (/ɺɯ̞.ʟ̠̆äː.ʏ̟ː.ɺʟ̠̆ʌːʟ̠̆/)
	 n. head
liblellal (/ɺʏ̟̆.bʟ̠̆ø̆.ʟ̠̆ʟ̠̆ɶ̆ɺ/)
	 n. offer
logaela (/ɺɤ̆.ɢœ̞̆ø̞̯̆.ʟ̠̆ʌ̞̆/)
	 n. rail
lubiilo (/ɺɘ.b̪yʏ̟̯.ʎ̯ɤ/)
	 n. brass
lulg (/ɺɘʟ̠̆ɟ/)
	 n. belief
lerdilbelor (/ɺøⱱ̟.dyɺ.b̪ø.ʎ̯ʌ̆ⱱ̟/)
	 n. steel
lol (/ɺɤ̞̆ʎ̯/)
	 n. paper
la (/ɺɜ̆/)
	 n. development
laloolelg (/ɺɜ̆.ʟ̠̆ɪ̈.ɺœ̆ɺ̢ɢ/)
	 n. mother
lalbool (/ɺɜɺ̢.b̪ɤ̞ːʎ̯/)
	 n. help
lala (/ɺɜ.ɺ̢ɶ̆/)
	 n. wire
lalooboolbaa (/ɺɜ.ʎ̯ɯ.bɤ̞ːʟ̠̆.bɑː/)
	 n. bird
le (/ɺœ̆/)
	 n. goat
lel (/ɺœ̆ɺ/)
	 n. stone
lebilalooool (/ɺœ.b̪ʏ̟̆.ʟ̠̆ɐ̆.ɺ̢ɯːɺ̢/)
	 n. band
lele (/ɺœ.ɺ̢ø/)
	 n. lock
lag (/ɺœ̞̆ɢ/)
	 n. face
lalaal (/ɺä.ɺ̢œ̞ːʎ̯/)
	 n. note
laa (/ɺɶː/)
	 n. friend
loaliili (/ɺɯ̞œ̞̯.ɺyːʏ̟ː̯.ɺ̢y̆/)
	 n. glove
droogiil (/ɖⱱ̟ɤː.ɟyʏ̟̯ɺ̢/)
	 n. monkey
dlebeed (/ɖɺø.b̪œːd/)
	 n. comparison
dlo (/ɖɺɤ̞/)
	 n. pocket
dlaebe (/ɖɺœ̞̆ø̞̯̆.b̪ø̆/)
	 n. instrument
dlalagulal (/ɖɺ̢ɐ̆.ʟ̠̆ɜ̆.ɟə̆.ɺœ̞ɺ̢/)
	 n. farm
dla (/ɖɺ̢ä/)
	 n. porter
dleegabooooldiil (/ɖʎ̯øː.ɟɐ.bɪ̈ːɺ.dyːʏ̟ː̯ɺ̢/)
	 n. knife
dloraalodeeg (/ɖʟ̠̆ɤ.ⱱ̟ɑː.ʟ̠̆ɤ̞̆.døːɢ/)
	 n. order
dlelalo (/ɖʟ̠̆ø̞̆.ʟ̠̆ɐ̆.ɺ̢ɤ/)
	 n. knowledge
dlal (/ɖʟ̠̆ɐʟ̠̆/)
	 n. regret
dooldlogoog (/ɖɯ̆ʟ̠̆.dʟ̠̆ʌ̆.ɟɤ̞ːɟ/)
	 n. love
dibilli (/ɖy̆.bʏ̟̆.ʟ̠̆ɺ̢y̆/)
	 n. knot
diglaogo (/ɖy̆.ɢɺ̢ɜ̆.ɤ̞̆.ɟɤ̆/)
	 n. ice
dog (/ɖɯ̞ɟ/)
	 n. baby
dog (/ɖɯ̞ɢ/)
	 n. cow
doerooooraab (/ɖɤ.œ̆.ⱱ̟ɨː.ⱱ̟ɐːb̪/)
	 n. bit
doola (/ɖɤː.ɺɶ̆/)
	 n. ring
doluu (/ɖɤ̞.ɺɘː/)
	 n. blade
doolleloob (/ɖɤ̞ː.ʎ̯ɺœ̆.ɺɪ̈̆b̪/)
	 n. wall
dudlaoooolid (/ɖə.dɺɐ.ɪ̈ː.ʟ̠̆ʏ̟̆d/)
	 n. guide
doobolil (/ɖʌː.b̪ɤ̞.ɺy̆ʟ̠̆/)
	 n. card
deelulaal (/ɖœː.ɺə̆.ɺ̢äːɺ/)
	 n. idea
dagid (/ɖɐ̆.ɟʏ̟d/)
	 n. base
dalgiibaa (/ɖɐ̆ʎ̯.ɢyʏ̟̯.bɶː/)
	 n. brush
dadli (/ɖœ̞̆.ɖʟ̠̆y̆/)
	 n. journey
dalab (/ɖœ̞̆.ʟ̠̆ʌ̞b̪/)
	 n. touch
daoorlolood (/ɖœ̞̆.ɯ̞ː.ⱱ̟ʎ̯ɤ.ɺ̢ɯ̆ɖ/)
	 n. dress
daar (/ɖœ̞ːⱱ̟/)
	 n. building
daaglooliig (/ɖɑː.ɟɺɯ̞.ɯ̞̆.ɺ̢yːʏ̟ː̯ɢ/)
	 n. berry
daaooool (/ɖɑː.ɪ̈ːɺ/)
	 n. net
daldlardellaa (/ɖä̆ɺ̢.dʎ̯ä̆ⱱ̟.dø̆.ɺɺ̢ɜː/)
	 n. street
lool (/ɺ̢ɨ̆ɺ/)
	 n. linen
looooooludla (/ɺ̢ɨː.ɪ̈̆.ɺə.dʟ̠̆ʌ̞/)
	 n. bath
loolalaldee (/ɺ̢ɪ̈.ʎ̯ɑ.ɺʌ̞̆ʟ̠̆.dø̞ː/)
	 n. person
liloo (/ɺ̢ʏ̟̆.ɺɨ/)
	 n. quality
lo (/ɺ̢ɤ̆/)
	 n. smash
ludaaal (/ɺ̢ɘ̆.ɖɑː.ɜɺ̢/)
	 n. sense
luurrulol (/ɺ̢ɘː.ⱱ̟ⱱ̟ɘ.ʟ̠̆ɤ̞ʎ̯/)
	 n. egg
leluu (/ɺ̢ø̆.ʟ̠̆əː/)
	 n. tail
lede (/ɺ̢ø.dø̞̆/)
	 n. silver
lod (/ɺ̢ɤ̞̆ɖ/)
	 n. sort
lodaal (/ɺ̢ɤ̞.ɖäːɺ/)
	 n. toe
lulgoo (/ɺ̢əɺ̢.ɟɤ̞ː/)
	 n. potato
leelug (/ɺ̢ø̞ː.ʎ̯ɘɢ/)
	 n. gold
leeoorai (/ɺ̢ø̞ː.ɪ̈.ⱱ̟ä̆.ʏ̟̆/)
	 n. thing
loaadula (/ɺ̢ʌ̆.ɑː.ɖɘ̆.ʟ̠̆ɜ̆/)
	 n. judge
lalblee (/ɺ̢ʌ̞ɺ.b̪ʎ̯øː/)
	 n. credit
ladog (/ɺ̢œ̞̆.dɯ̞ɟ/)
	 n. process
laraaldrilaer (/ɺ̢ä.ⱱ̟ɑːʟ̠̆.ɖⱱ̟ʏ̟̆.ʟ̠̆œ̞̆ø̞̯̆ⱱ̟/)
	 n. range
liirdloldrode (/ɺ̢yʏ̟̯ⱱ̟.ɖʎ̯ʌ̆ɺ̢.ɖⱱ̟ɤ̞.dœ/)
	 n. payment
liiliiloola (/ɺ̢yːʏ̟ː̯.ɺ̢yʏ̟̯.ʟ̠̆ɯ̞ː.ɺ̢ʌ̞/)
	 n. son
glil (/ɟɺy̆ʎ̯/)
	 n. boot
gluud (/ɟɺəːɖ/)
	 n. year
gloogoolblab (/ɟɺʌː.ɟɯɺ.bɺ̢ʌ̞̆b̪/)
	 n. stage
glooliilgoodle (/ɟɺ̢ɯ̞ː.ʎ̯yːʏ̟ː̯ɺ.ɟɤ̞ː.dʟ̠̆ø̞/)
	 n. cry
gloableelralduu (/ɟɺ̢ɯ̞œ̞̯.bɺ̢øː.ɺⱱ̟ɑ̆ʟ̠̆.ɖɘː/)
	 n. gun
gloogae (/ɟʎ̯ɤ̞ː.ɢœ̞̆ø̞̯̆/)
	 n. comfort
goolaloal (/ɟɯ.ɺ̢ɐ.ʟ̠̆ɯ̞œ̞̯ɺ/)
	 n. smoke
gooooloob (/ɟɯː.ʎ̯ɪ̈̆b̪/)
	 n. doubt
goo (/ɟɨ/)
	 n. finger
gillel (/ɟy̆.ɺ̢ɺø̞ɺ̢/)
	 n. whistle
go (/ɟɯ̞̆/)
	 n. oil
goroo (/ɟɯ̞.ⱱ̟ɤː/)
	 n. book
gooldlaeer (/ɟɪ̈̆ʟ̠̆.dɺ̢ɶ̆.øːⱱ̟/)
	 n. business
giiboooolgoae (/ɟʏ̟ː.b̪ɪ̈ːʎ̯.ɢɯ̞œ̞̯.ø/)
	 n. roll
gula (/ɟɘ̆.ʟ̠̆ɐ̆/)
	 n. part
gulalbib (/ɟɘ.ɺʌ̞̆ɺ.byb̪/)
	 n. moon
ger (/ɟøⱱ̟/)
	 n. fowl
gobeldiilaa (/ɟʌ.b̪ø̞̆ɺ.dyʏ̟̯.ʟ̠̆ɑː/)
	 n. hearing
ga (/ɟɜ̆/)
	 n. front
garuubelii (/ɟɜ.ⱱ̟ɘː.b̪ø̆.ɺ̢yː/)
	 n. vessel
gaduael (/ɟʌ̞̆.də.œ̞̆ø̞̯̆ʎ̯/)
	 n. pull
gaalud (/ɟʌ̞ː.ʎ̯ɘɖ/)
	 n. secretary
gaabeel (/ɟɐː.bøːʎ̯/)
	 n. cook
gaabouuloo (/ɟœ̞ː.b̪ɯ̞̆.əː.ʎ̯ɪ̈̆/)
	 n. minute
galaleralg (/ɟɶ̆.ʎ̯ä.ʟ̠̆œ̆.ⱱ̟œ̞ɺ̢ɟ/)
	 n. insurance
ga (/ɟɶ/)
	 n. air
gaadiil (/ɟɶː.ɖyːʟ̠̆/)
	 n. milk
looagiigo (/ʎ̯ɯ̆.ɶ̆.ɟyː.ɟɤ/)
	 n. meat
loolooleol (/ʎ̯ɯ.ʎ̯ʌː.ɺ̢ø̞̆.ɤ̞ɺ/)
	 n. birth
loo (/ʎ̯ɨ̆/)
	 n. train
lollal (/ʎ̯ɯ̞.ɺ̢ʎ̯ɜ̆ɺ/)
	 n. seed
looleerlag (/ʎ̯ɯ̞ː.ɺøː.ⱱ̟ʟ̠̆ɐ̆ɟ/)
	 n. root
lolaalglooga (/ʎ̯ɤ̆.ʎ̯ɶːɺ.ɢɺɯ.ɟä̆/)
	 n. bag
lulaag (/ʎ̯ɘ̆.ɺ̢ɜːɟ/)
	 n. meeting
le (/ʎ̯ø̆/)
	 n. week
lebaliila (/ʎ̯ø̆.bɶ̆.ʟ̠̆yːʏ̟ː̯.ʟ̠̆ä̆/)
	 n. group
lel (/ʎ̯ø̆ɺ/)
	 n. bucket
lerguu (/ʎ̯øⱱ̟.ɟɘː/)
	 n. cloth
lellaro (/ʎ̯ø̞.ɺɺɑ̆.ⱱ̟ɤ/)
	 n. cause
lalda (/ʎ̯ɜʟ̠̆.ɖɶ/)
	 n. chain
laargeerlaaob (/ʎ̯ɜːⱱ̟.ɟœː.ⱱ̟ɺ̢ɜː.ʌb/)
	 n. room
le (/ʎ̯œ̆/)
	 n. harbor
lad (/ʎ̯ɐd/)
	 n. stick
laaldil (/ʎ̯ɐːʟ̠̆.ɖy̆ɺ/)
	 n. rule
laa (/ʎ̯œ̞ː/)
	 n. time
lada (/ʎ̯ä̆.ɖɜ̆/)
	 n. song
lagoolag (/ʎ̯ɶ̆.ɢɨ.ɺ̢ɶ̆ɟ/)
	 n. attempt
liidaaulaad (/ʎ̯yʏ̟̯.ɖɶː.ɘ̆.ɺ̢œ̞ːɖ/)
	 n. copper
liilu (/ʎ̯yʏ̟̯.ʟ̠̆ɘ̆/)
	 n. crush
gloooo (/ɢɺɨː/)
	 n. exchange
glerelgaa (/ɢɺø.ⱱ̟ø̆ʎ̯.ɢœ̞ː/)
	 n. chance
gloolgaeeld (/ɢɺɤ̞ːʟ̠̆.ɢɐ.œːʎ̯ɖ/)
	 n. fear
gloolaalii (/ɢɺ̢ʌː.ɺ̢äː.ɺ̢yʏ̟̯/)
	 n. music
glalaaga (/ɢɺ̢ɐ.ʎ̯ɶː.ɢɑ/)
	 n. skin
glaaldelblod (/ɢɺ̢œ̞ːɺ̢.ɖø̞ʟ̠̆.b̪ɺ̢ɤ̞d/)
	 n. fire
glaaloa (/ɢɺ̢äː.ɺɯ̞œ̞̯/)
	 n. event
glilbleoorbuug (/ɢʎ̯y̆ɺ̢.bʎ̯ø.ɤːⱱ̟.b̪ɘːɟ/)
	 n. peace
gleelalliia (/ɢʎ̯ø̞ː.ɺ̢ʌ̞.ɺɺ̢yː.ʌ̞̆/)
	 n. machine
glooalar (/ɢʎ̯ʌː.ɶ.ɺœ̞̆ⱱ̟/)
	 n. fruit
glaloolra (/ɢʎ̯ɶ̆.ʎ̯ɯ̆.ɺ̢ⱱ̟ʌ̞̆/)
	 n. thread
glolalii (/ɢʟ̠̆ʌ.ɺʌ̞̆.ʎ̯yː/)
	 n. circle
glaa (/ɢʟ̠̆ɐː/)
	 n. history
giliilloollab (/ɢy̆.ɺyʏ̟̯.ɺɺɯ.ɺ̢ɺ̢œ̞b/)
	 n. tin
gillarleellu (/ɢy.ʎ̯ʟ̠̆œ̞.ⱱ̟ʟ̠̆ø̞ː.ʎ̯ɺ̢ɘ/)
	 n. stop
gii (/ɢyː/)
	 n. mist
golrul (/ɢɯ̞.ɺ̢ⱱ̟ɘ̆ɺ/)
	 n. cotton
goolruuab (/ɢɪ̈̆.ɺ̢ⱱ̟ɘː.ɜb/)
	 n. window
gidaald (/ɢʏ̟̆.ɖɜːɺɖ/)
	 n. play
ge (/ɢø̆/)
	 n. adjustment
gelgleloldlud (/ɢøɺ.ɢʎ̯ø̆.ɺ̢ɤ̆ɺ.dɺ̢ɘ̆d/)
	 n. interest
geeboooore (/ɢøː.b̪ɨː.ⱱ̟ø/)
	 n. pig
geedoooob (/ɢøː.ɖɪ̈.ɪ̈b̪/)
	 n. crack
guloolgeloog (/ɢə̆.ɺ̢ɪ̈ɺ.ɟœ̆.ɺɪ̈̆ɟ/)
	 n. apple
guuloooo (/ɢəː.ɺɨː/)
	 n. orange
guul (/ɢəːʟ̠̆/)
	 n. disease
gella (/ɢø̞.ɺʎ̯ɶ̆/)
	 n. hook
geelooooroooolal (/ɢø̞ː.ɺɪ̈ː.ⱱ̟ɪ̈ː.ʎ̯ʌ̞ʎ̯/)
	 n. war
googoo (/ɢʌː.ɢɨ/)
	 n. sea
galoole (/ɢɜ̆.ɺɨ.ʟ̠̆ø̆/)
	 n. feeling
ge (/ɢœ̆/)
	 n. tongue
gelliie (/ɢœ̆.ɺʎ̯yʏ̟̯.œ̆/)
	 n. frame
gal (/ɢʌ̞̆ɺ̢/)
	 n. flower
gadooooglod (/ɢœ̞̆.ɖɪ̈ː.ɟɺ̢ɤ̞̆ɖ/)
	 n. insect
gau (/ɢɑ̆.ə/)
	 n. woman
gadlaal (/ɢä̆.ɖɺœ̞ːɺ̢/)
	 n. key
gald (/ɢɶʎ̯d/)
	 n. waste
giibeeooool (/ɢyːʏ̟ː̯.bøː.ɪ̈ːʟ̠̆/)
	 n. bottle
giibuulduuloo (/ɢyːʏ̟ː̯.b̪ɘːʟ̠̆.ɖəː.ɺ̢ɯ̞ː/)
	 n. rod
giilgaalulbeb (/ɢyːʏ̟ː̯ʎ̯.ɟœ̞ː.ʟ̠̆ə̆ʎ̯.bœb/)
	 n. learning
giielooooil (/ɢyːʏ̟ː̯.ø̆.ʟ̠̆ɪ̈ː.ʏ̟̆ʎ̯/)
	 n. mine
goaglooooloo (/ɢɯ̞œ̞̯.ɢʟ̠̆ɪ̈ː.ɺ̢ʌː/)
	 n. mouth
loolbooooboooo (/ʟ̠̆ɯ̞ːɺ.b̪ɪ̈ː.b̪ɨː/)
	 n. destruction
logooliilig (/ʟ̠̆ɤ̆.ɢɯ̞ː.ʎ̯yːʏ̟ː̯.ʟ̠̆ʏ̟̆ɟ/)
	 n. profit
lood (/ʟ̠̆ɤːd/)
	 n. burn
lullaad (/ʟ̠̆ə̆.ʟ̠̆ɺ̢ɶːd/)
	 n. run
lalaaroaloo (/ʟ̠̆ɜ̆.ɺ̢ɑː.ⱱ̟ɯ̞œ̞̯.ɺ̢ɯ̆/)
	 n. paint
laaloodegloo (/ʟ̠̆ɜː.ɺɨ.dø̞̆.ɟʎ̯ɯ̆/)
	 n. nation
laa (/ʟ̠̆ʌ̞ː/)
	 n. weather
la (/ʟ̠̆ɑ̆/)
	 n. hat
labroogolool (/ʟ̠̆ɑ̆.bⱱ̟ʌː.ɢʌ̆.ʎ̯ɯ̆ʟ̠̆/)
	 n. distance
lad (/ʟ̠̆ɑ̆d/)
	 n. discovery
laabooeeb (/ʟ̠̆ɶ.ɑ.b̪ɯ̆.œːb̪/)
	 n. snake
laelgaer (/ʟ̠̆œ̞̆ø̞̯̆ʟ̠̆.ɟœ̞̆ø̞̯̆ⱱ̟/)
	 n. throat
oolo (/ɯ̆.ʎ̯ʌ̆/)
	 n. box
oolboaaallii (/ɯ̆ʟ̠̆.bɯ̞œ̞̯.œ̞ː.ɺʎ̯yʏ̟̯/)
	 n. effect
oor (/ɯⱱ̟/)
	 n. jump
oolaliig (/ɯ.ɺä̆.ɺyʏ̟̯ɟ/)
	 n. laugh
oooo (/ɯː/)
	 n. position
oooolold (/ɯː.ʟ̠̆ʌ̆ɺɖ/)
	 n. drink
oordaalaal (/ɨ̆ⱱ̟.ɖɑː.ɺ̢ɐ̆.ɜ̆ɺ̢/)
	 n. apparatus
oolaalg (/ɨ̆.ɺɑːɺɟ/)
	 n. damage
oogal (/ɨ̆.ɟä̆ʎ̯/)
	 n. distribution
oolboo (/ɨ̆ʎ̯.bɨ̆/)
	 n. current
ooldralboo (/ɨ̆ʟ̠̆.ɖⱱ̟ʌ̞ɺ.bɯ̞ː/)
	 n. plant
oo (/ɨ/)
	 n. grip
oodloo (/ɨ.ɖɺ̢ɤː/)
	 n. question
ooldoooolooo (/ɨɺ̢.ɖɪ̈ː.ʎ̯ɯ̞.ɨ̆/)
	 n. lift
oolooluool (/ɨ.ɺ̢ɪ̈.ɺɘ̆.ʌːʟ̠̆/)
	 n. receipt
oolela (/ɨ.ɺ̢ø̞.ɺɜ̆/)
	 n. snow
ooloaela (/ɨ.ɺ̢ɯ̞œ̞̯.ø.ɺ̢ɑ̆/)
	 n. ant
oog (/ɨɟ/)
	 n. story
ooloorlooa (/ɨ.ʎ̯ɪ̈̆.ⱱ̟ʎ̯ɪ̈̆.ʌ̞/)
	 n. stitch
